lambda (nm)	A (1 drop)	A (4 drops)	A (6 drops)
664.16	0.11	0.31	0.468
664.333	0.11	0.31	0.467
664.506	0.11	0.309	0.465
664.679	0.11	0.308	0.464
664.852	0.109	0.307	0.462
665.025	0.109	0.306	0.46
665.198	0.109	0.304	0.458
665.371	0.108	0.303	0.456
665.544	0.108	0.302	0.453
665.717	0.108	0.3	0.45
665.89	0.107	0.298	0.447
666.063	0.107	0.296	0.444
666.236	0.106	0.294	0.441
666.409	0.106	0.292	0.438
666.582	0.106	0.291	0.434
666.755	0.105	0.288	0.431
666.928	0.105	0.286	0.427
667.101	0.104	0.284	0.423
667.274	0.104	0.282	0.419
667.447	0.103	0.279	0.415
667.62	0.103	0.277	0.411
667.793	0.102	0.274	0.407
667.966	0.102	0.272	0.403
668.139	0.101	0.269	0.398
668.312	0.101	0.266	0.394
668.485	0.1	0.264	0.389
668.658	0.099	0.261	0.385
668.831	0.099	0.258	0.38
669.004	0.098	0.255	0.375
669.177	0.097	0.252	0.37
669.35	0.097	0.25	0.365
669.523	0.096	0.247	0.36
669.696	0.095	0.243	0.355
669.869	0.095	0.24	0.35
670.042	0.094	0.237	0.345
670.215	0.093	0.234	0.34
670.388	0.093	0.231	0.335
670.561	0.092	0.228	0.33
670.734	0.091	0.225	0.325
670.907	0.091	0.222	0.32
671.08	0.09	0.218	0.315
671.253	0.089	0.215	0.309
671.426	0.089	0.212	0.304
671.599	0.088	0.209	0.299
671.772	0.087	0.206	0.294
671.945	0.087	0.203	0.289
672.118	0.086	0.2	0.284
672.291	0.085	0.197	0.279
672.464	0.085	0.194	0.274
672.637	0.084	0.192	0.27
672.81	0.083	0.189	0.265
672.983	0.083	0.186	0.26
673.156	0.082	0.183	0.256
673.329	0.082	0.18	0.251
673.503	0.081	0.178	0.246
673.676	0.08	0.175	0.242
673.849	0.08	0.172	0.237
674.022	0.079	0.169	0.233
674.195	0.079	0.167	0.228
674.368	0.078	0.164	0.224
674.541	0.078	0.161	0.22
674.714	0.077	0.159	0.216
674.887	0.077	0.156	0.211
675.06	0.076	0.154	0.207
675.233	0.075	0.151	0.203
675.406	0.075	0.149	0.199
675.579	0.074	0.147	0.196
675.752	0.074	0.144	0.192
675.925	0.073	0.142	0.188
676.098	0.073	0.14	0.185
676.271	0.072	0.138	0.181
676.444	0.072	0.136	0.178
676.617	0.071	0.134	0.174
676.79	0.071	0.132	0.171
676.963	0.071	0.13	0.168
677.136	0.07	0.128	0.165
677.309	0.07	0.126	0.162
677.482	0.069	0.124	0.159
677.656	0.069	0.123	0.156
677.829	0.069	0.121	0.153
678.002	0.068	0.119	0.15
678.175	0.068	0.118	0.148
678.348	0.068	0.116	0.145
678.521	0.067	0.115	0.143
678.694	0.067	0.113	0.14
678.867	0.067	0.112	0.138
679.04	0.067	0.11	0.135
679.213	0.066	0.109	0.133
679.386	0.066	0.108	0.131
679.559	0.066	0.106	0.129
679.732	0.065	0.105	0.127
679.905	0.065	0.104	0.125
680.078	0.065	0.103	0.123
680.251	0.064	0.101	0.121
680.425	0.064	0.1	0.119
680.598	0.064	0.099	0.117
680.771	0.064	0.098	0.115
680.944	0.063	0.097	0.114
681.117	0.063	0.096	0.112
681.29	0.063	0.095	0.11
681.463	0.063	0.094	0.109
681.636	0.063	0.093	0.108
681.809	0.062	0.092	0.106
681.982	0.062	0.091	0.105
682.155	0.062	0.091	0.103
682.328	0.062	0.09	0.102
682.501	0.062	0.089	0.101
682.675	0.061	0.088	0.099
682.848	0.061	0.088	0.098
683.021	0.061	0.087	0.097
683.194	0.061	0.086	0.096
683.367	0.061	0.086	0.095
683.54	0.061	0.085	0.094
683.713	0.06	0.085	0.093
683.886	0.06	0.084	0.092
684.059	0.06	0.083	0.091
684.232	0.06	0.083	0.091
684.405	0.06	0.082	0.09
684.579	0.06	0.082	0.089
684.752	0.06	0.082	0.088
684.925	0.06	0.081	0.088
685.098	0.06	0.081	0.087
685.271	0.059	0.08	0.086
685.444	0.059	0.08	0.086
685.617	0.059	0.079	0.085
685.79	0.059	0.079	0.084
685.963	0.059	0.079	0.084
686.136	0.059	0.078	0.083
686.31	0.059	0.078	0.082
686.483	0.059	0.077	0.082
686.656	0.059	0.077	0.081
686.829	0.059	0.077	0.081
687.002	0.059	0.077	0.08
687.175	0.059	0.076	0.08
687.348	0.058	0.076	0.079
687.521	0.058	0.076	0.079
687.694	0.058	0.076	0.078
687.867	0.058	0.075	0.078
688.041	0.058	0.075	0.078
688.214	0.058	0.075	0.077
688.387	0.058	0.075	0.077
688.56	0.058	0.075	0.077
688.733	0.058	0.074	0.076
688.906	0.058	0.074	0.076
689.079	0.058	0.074	0.076
689.252	0.058	0.074	0.075
689.426	0.058	0.074	0.075
689.599	0.058	0.073	0.075
689.772	0.058	0.073	0.075
689.945	0.058	0.073	0.074
690.118	0.058	0.073	0.074
690.291	0.057	0.073	0.074
690.464	0.057	0.072	0.073
690.637	0.057	0.072	0.073
690.811	0.057	0.072	0.073
690.984	0.057	0.072	0.073
691.157	0.057	0.072	0.072
691.33	0.057	0.072	0.072
691.503	0.057	0.072	0.072
691.676	0.057	0.072	0.072
691.849	0.057	0.071	0.072
692.022	0.057	0.071	0.071
692.196	0.057	0.071	0.071
692.369	0.057	0.071	0.071
692.542	0.057	0.071	0.071
692.715	0.057	0.071	0.071
692.888	0.057	0.071	0.071
693.061	0.057	0.071	0.071
693.234	0.057	0.071	0.071
693.408	0.057	0.071	0.07
693.581	0.057	0.071	0.07
693.754	0.057	0.071	0.07
693.927	0.057	0.071	0.07
694.1	0.057	0.071	0.07
694.273	0.057	0.071	0.069
694.447	0.057	0.071	0.069
694.62	0.057	0.071	0.069
694.793	0.057	0.072	0.069
694.966	0.057	0.072	0.068
695.139	0.057	0.072	0.068
695.312	0.057	0.072	0.068
695.485	0.057	0.072	0.068
695.659	0.057	0.072	0.069
695.832	0.057	0.071	0.069
696.005	0.058	0.071	0.069
696.178	0.058	0.071	0.07
696.351	0.058	0.071	0.07
696.524	0.059	0.07	0.071
696.698	0.059	0.07	0.071
696.871	0.059	0.07	0.071
697.044	0.059	0.069	0.071
697.217	0.059	0.069	0.071
697.39	0.059	0.069	0.071
697.563	0.059	0.069	0.071
697.737	0.059	0.069	0.071
697.91	0.059	0.069	0.07
698.083	0.059	0.069	0.07
698.256	0.059	0.069	0.07
698.429	0.058	0.069	0.069
698.602	0.058	0.069	0.069
698.776	0.058	0.069	0.069
698.949	0.058	0.069	0.068
699.122	0.057	0.069	0.068
699.295	0.057	0.069	0.068
699.468	0.057	0.069	0.068
699.641	0.057	0.069	0.067
699.815	0.057	0.068	0.067
699.988	0.056	0.068	0.067
700.161	0.056	0.068	0.067
700.334	0.056	0.068	0.067
700.507	0.056	0.068	0.066
700.681	0.056	0.067	0.066
700.854	0.056	0.067	0.066
701.027	0.056	0.067	0.066
701.2	0.056	0.067	0.066
701.373	0.056	0.067	0.066
701.547	0.056	0.067	0.065
701.72	0.056	0.067	0.065
701.893	0.056	0.067	0.065
702.066	0.056	0.067	0.066
702.239	0.056	0.067	0.066
702.413	0.056	0.067	0.066
702.586	0.056	0.067	0.066
702.759	0.056	0.067	0.066
702.932	0.056	0.067	0.066
703.105	0.056	0.067	0.066
703.279	0.056	0.067	0.066
703.452	0.056	0.067	0.066
703.625	0.056	0.067	0.066
703.798	0.056	0.067	0.066
703.971	0.056	0.067	0.066
704.145	0.056	0.067	0.066
704.318	0.056	0.067	0.065
704.491	0.056	0.067	0.065
704.664	0.056	0.067	0.065
704.837	0.056	0.066	0.065
705.011	0.056	0.066	0.065
705.184	0.056	0.066	0.065
705.357	0.055	0.066	0.065
705.53	0.055	0.066	0.065
705.703	0.055	0.066	0.064
705.877	0.055	0.066	0.064
706.05	0.055	0.066	0.064
706.223	0.055	0.066	0.064
706.396	0.055	0.066	0.064
706.57	0.055	0.065	0.064
706.743	0.055	0.065	0.064
706.916	0.055	0.065	0.064
707.089	0.055	0.065	0.064
707.262	0.055	0.065	0.064
707.436	0.055	0.065	0.064
707.609	0.055	0.065	0.064
707.782	0.055	0.065	0.064
707.955	0.054	0.065	0.064
708.129	0.054	0.065	0.063
708.302	0.054	0.065	0.063
708.475	0.054	0.065	0.063
708.648	0.054	0.065	0.063
708.821	0.054	0.065	0.063
708.995	0.054	0.065	0.063
709.168	0.054	0.065	0.063
709.341	0.054	0.065	0.063
709.514	0.054	0.064	0.063
709.688	0.054	0.064	0.063
709.861	0.054	0.064	0.063
710.034	0.054	0.064	0.063
710.207	0.054	0.064	0.063
710.381	0.054	0.064	0.063
710.554	0.054	0.064	0.063
710.727	0.054	0.064	0.063
710.9	0.054	0.064	0.062
711.074	0.054	0.064	0.062
711.247	0.054	0.064	0.062
711.42	0.054	0.064	0.062
711.593	0.054	0.064	0.062
711.767	0.054	0.064	0.062
711.94	0.053	0.064	0.062
712.113	0.053	0.064	0.062
712.286	0.053	0.064	0.062
712.46	0.053	0.064	0.062
712.633	0.053	0.064	0.062
712.806	0.053	0.063	0.061
712.979	0.053	0.063	0.061
713.153	0.053	0.063	0.061
713.326	0.053	0.063	0.061
713.499	0.053	0.063	0.061
713.672	0.053	0.063	0.061
713.846	0.053	0.063	0.061
714.019	0.053	0.063	0.061
714.192	0.053	0.063	0.061
714.366	0.053	0.063	0.06
714.539	0.053	0.063	0.06
714.712	0.053	0.062	0.06
714.885	0.052	0.062	0.06
715.059	0.052	0.062	0.06
715.232	0.052	0.062	0.06
715.405	0.052	0.062	0.06
715.578	0.052	0.062	0.06
715.752	0.052	0.062	0.06
715.925	0.052	0.062	0.06
716.098	0.052	0.062	0.06
716.271	0.052	0.062	0.06
716.445	0.052	0.062	0.06
716.618	0.052	0.062	0.06
716.791	0.052	0.062	0.06
716.965	0.052	0.062	0.06
717.138	0.052	0.062	0.059
717.311	0.052	0.062	0.059
717.484	0.052	0.062	0.059
717.658	0.052	0.062	0.059
717.831	0.051	0.061	0.059
718.004	0.051	0.061	0.059
718.178	0.051	0.061	0.059
718.351	0.051	0.061	0.059
718.524	0.051	0.061	0.059
718.697	0.051	0.061	0.059
718.871	0.051	0.061	0.059
719.044	0.051	0.061	0.059
719.217	0.051	0.061	0.059
719.391	0.051	0.06	0.059
719.564	0.051	0.06	0.058
719.737	0.051	0.06	0.058
719.911	0.05	0.06	0.058
720.084	0.05	0.06	0.058
720.257	0.05	0.06	0.058
720.43	0.05	0.06	0.058
720.604	0.05	0.06	0.058
720.777	0.05	0.06	0.058
720.95	0.05	0.06	0.058
721.124	0.05	0.06	0.058
721.297	0.05	0.06	0.058
721.47	0.05	0.06	0.058
721.644	0.05	0.06	0.058
721.817	0.05	0.06	0.058
721.99	0.05	0.06	0.058
722.163	0.05	0.06	0.058
722.337	0.05	0.06	0.058
722.51	0.05	0.06	0.058
722.683	0.05	0.06	0.058
722.857	0.05	0.06	0.058
723.03	0.05	0.06	0.058
723.203	0.05	0.06	0.057
723.377	0.05	0.06	0.057
723.55	0.05	0.059	0.057
723.723	0.05	0.059	0.057
723.897	0.05	0.059	0.057
724.07	0.05	0.059	0.057
724.243	0.05	0.059	0.057
724.417	0.05	0.059	0.057
724.59	0.05	0.059	0.057
724.763	0.05	0.059	0.057
724.937	0.05	0.059	0.057
725.11	0.049	0.059	0.057
725.283	0.049	0.059	0.057
725.457	0.049	0.059	0.057
725.63	0.049	0.059	0.057
725.803	0.049	0.059	0.056
725.977	0.049	0.059	0.056
726.15	0.049	0.059	0.056
726.323	0.049	0.059	0.056
726.497	0.049	0.059	0.056
726.67	0.049	0.059	0.056
726.843	0.049	0.059	0.056
727.017	0.049	0.059	0.056
727.19	0.049	0.059	0.056
727.363	0.049	0.059	0.056
727.537	0.049	0.059	0.056
727.71	0.049	0.058	0.056
727.883	0.049	0.058	0.056
728.057	0.049	0.058	0.056
728.23	0.049	0.058	0.056
728.403	0.049	0.058	0.056
728.577	0.049	0.058	0.056
728.75	0.049	0.058	0.056
728.923	0.049	0.058	0.056
729.097	0.049	0.058	0.056
729.27	0.049	0.058	0.056
729.443	0.048	0.058	0.056
729.617	0.048	0.058	0.056
729.79	0.048	0.058	0.055
729.963	0.048	0.058	0.055
730.137	0.048	0.058	0.055
730.31	0.048	0.058	0.055
730.484	0.048	0.058	0.055
730.657	0.048	0.058	0.055
730.83	0.048	0.058	0.055
731.004	0.048	0.058	0.055
731.177	0.048	0.058	0.055
731.35	0.048	0.058	0.055
731.524	0.048	0.058	0.055
731.697	0.048	0.057	0.055
731.87	0.048	0.057	0.055
732.044	0.048	0.057	0.055
732.217	0.048	0.057	0.055
732.391	0.048	0.057	0.055
732.564	0.048	0.057	0.055
732.737	0.048	0.057	0.055
732.911	0.048	0.057	0.055
733.084	0.048	0.057	0.055
733.257	0.048	0.057	0.055
733.431	0.048	0.057	0.055
733.604	0.048	0.057	0.055
733.778	0.048	0.057	0.055
733.951	0.048	0.057	0.055
734.124	0.048	0.057	0.055
734.298	0.048	0.057	0.055
734.471	0.048	0.057	0.055
734.644	0.048	0.057	0.055
734.818	0.048	0.057	0.055
734.991	0.048	0.057	0.055
735.165	0.048	0.057	0.055
735.338	0.048	0.057	0.055
735.511	0.048	0.057	0.055
735.685	0.048	0.057	0.055
735.858	0.048	0.057	0.055
736.032	0.048	0.057	0.055
736.205	0.048	0.057	0.055
736.378	0.048	0.057	0.055
736.552	0.048	0.057	0.055
736.725	0.048	0.057	0.055
736.899	0.048	0.057	0.055
737.072	0.048	0.057	0.055
737.245	0.048	0.057	0.055
737.419	0.048	0.057	0.055
737.592	0.048	0.058	0.055
737.766	0.048	0.058	0.055
737.939	0.048	0.058	0.055
738.112	0.048	0.058	0.055
738.286	0.048	0.058	0.055
738.459	0.048	0.058	0.055
738.633	0.048	0.058	0.055
738.806	0.048	0.058	0.055
738.979	0.048	0.058	0.055
739.153	0.048	0.058	0.055
739.326	0.048	0.058	0.055
739.5	0.048	0.058	0.055
739.673	0.048	0.058	0.055
739.846	0.048	0.058	0.055
740.02	0.048	0.058	0.055
740.193	0.048	0.058	0.055
740.367	0.048	0.058	0.055
740.54	0.048	0.058	0.055
740.713	0.048	0.058	0.055
740.887	0.048	0.058	0.055
741.06	0.048	0.058	0.055
741.234	0.048	0.058	0.055
741.407	0.048	0.058	0.055
741.581	0.048	0.058	0.055
741.754	0.048	0.058	0.055
741.927	0.048	0.058	0.055
742.101	0.048	0.058	0.055
742.274	0.048	0.058	0.055
742.448	0.048	0.058	0.055
742.621	0.048	0.058	0.055
742.795	0.048	0.058	0.055
742.968	0.048	0.058	0.055
743.141	0.048	0.058	0.055
743.315	0.048	0.058	0.055
743.488	0.048	0.058	0.055
743.662	0.048	0.058	0.055
743.835	0.048	0.058	0.055
744.009	0.048	0.059	0.056
744.182	0.048	0.059	0.056
744.355	0.049	0.059	0.056
744.529	0.049	0.059	0.056
744.702	0.049	0.059	0.056
744.876	0.049	0.059	0.056
745.049	0.049	0.059	0.056
745.223	0.049	0.059	0.056
745.396	0.049	0.059	0.056
745.57	0.049	0.059	0.056
745.743	0.049	0.059	0.056
745.916	0.049	0.059	0.056
746.09	0.049	0.059	0.056
746.263	0.049	0.059	0.056
746.437	0.049	0.059	0.056
746.61	0.049	0.059	0.056
746.784	0.049	0.059	0.056
746.957	0.049	0.059	0.056
747.131	0.049	0.059	0.056
747.304	0.049	0.06	0.056
747.478	0.049	0.06	0.056
747.651	0.049	0.06	0.056
747.824	0.049	0.06	0.056
747.998	0.049	0.06	0.056
748.171	0.05	0.06	0.056
748.345	0.05	0.06	0.056
748.518	0.05	0.06	0.057
748.692	0.05	0.06	0.057
748.865	0.05	0.06	0.057
749.039	0.05	0.06	0.057
749.212	0.05	0.06	0.057
749.386	0.05	0.061	0.057
749.559	0.05	0.061	0.057
749.733	0.05	0.061	0.057
749.906	0.05	0.061	0.057
750.08	0.05	0.061	0.057
750.253	0.05	0.061	0.057
750.426	0.05	0.061	0.057
750.6	0.05	0.061	0.057
750.773	0.05	0.061	0.057
750.947	0.05	0.061	0.057
751.12	0.05	0.061	0.057
751.294	0.05	0.061	0.057
751.467	0.05	0.061	0.057
751.641	0.05	0.061	0.057
751.814	0.05	0.061	0.057
751.988	0.05	0.061	0.057
752.161	0.05	0.061	0.057
752.335	0.051	0.061	0.057
752.508	0.051	0.061	0.057
752.682	0.051	0.061	0.057
752.855	0.051	0.061	0.057
753.029	0.051	0.061	0.057
753.202	0.051	0.061	0.057
753.376	0.051	0.061	0.057
753.549	0.051	0.061	0.057
753.723	0.051	0.061	0.057
753.896	0.051	0.061	0.057
754.07	0.051	0.061	0.057
754.243	0.051	0.061	0.057
754.417	0.051	0.061	0.057
754.59	0.051	0.061	0.057
754.764	0.051	0.061	0.057
754.937	0.051	0.062	0.057
755.111	0.051	0.062	0.057
755.284	0.051	0.062	0.058
755.458	0.051	0.062	0.058
755.631	0.051	0.062	0.058
755.805	0.051	0.062	0.058
755.978	0.051	0.062	0.058
756.152	0.051	0.062	0.058
756.325	0.051	0.062	0.058
756.499	0.051	0.062	0.058
756.672	0.051	0.062	0.058
756.846	0.051	0.062	0.058
757.019	0.051	0.062	0.058
757.193	0.051	0.062	0.058
757.366	0.052	0.062	0.058
757.54	0.052	0.062	0.058
757.713	0.052	0.062	0.058
757.887	0.052	0.062	0.058
758.06	0.052	0.062	0.058
758.234	0.052	0.062	0.058
758.407	0.052	0.062	0.058
758.581	0.052	0.062	0.059
758.754	0.052	0.063	0.059
758.928	0.052	0.063	0.059
759.101	0.052	0.063	0.059
759.275	0.052	0.063	0.059
759.448	0.052	0.063	0.059
759.622	0.052	0.063	0.059
759.795	0.052	0.063	0.059
759.969	0.052	0.063	0.059
760.143	0.052	0.063	0.059
760.316	0.052	0.063	0.059
760.49	0.052	0.063	0.059
760.663	0.052	0.063	0.059
760.837	0.052	0.063	0.059
761.01	0.052	0.063	0.059
761.184	0.052	0.063	0.059
761.357	0.052	0.063	0.059
761.531	0.052	0.063	0.059
761.704	0.052	0.063	0.059
761.878	0.052	0.063	0.059
762.051	0.052	0.063	0.059
762.225	0.052	0.063	0.059
762.399	0.053	0.064	0.059
762.572	0.053	0.064	0.059
762.746	0.053	0.064	0.059
762.919	0.053	0.064	0.059
763.093	0.053	0.064	0.059
763.266	0.053	0.064	0.059
763.44	0.053	0.064	0.059
763.613	0.053	0.064	0.059
763.787	0.053	0.064	0.059
763.96	0.053	0.064	0.059
764.134	0.053	0.064	0.059
764.308	0.053	0.064	0.059
764.481	0.053	0.064	0.059
764.655	0.053	0.064	0.059
764.828	0.053	0.064	0.059
765.002	0.053	0.065	0.06
765.175	0.053	0.065	0.06
765.349	0.053	0.065	0.06
765.522	0.053	0.065	0.06
765.696	0.054	0.065	0.06
765.87	0.054	0.065	0.06
766.043	0.054	0.065	0.06
766.217	0.054	0.065	0.06
766.39	0.054	0.065	0.06
766.564	0.054	0.065	0.06
766.737	0.054	0.065	0.06
766.911	0.054	0.065	0.06
767.085	0.054	0.065	0.06
767.258	0.054	0.065	0.06
767.432	0.054	0.065	0.06
767.605	0.054	0.065	0.06
767.779	0.054	0.066	0.06
767.952	0.054	0.066	0.06
768.126	0.054	0.066	0.06
768.3	0.054	0.066	0.06
768.473	0.054	0.066	0.06
768.647	0.054	0.066	0.06
768.82	0.054	0.066	0.061
768.994	0.054	0.066	0.061
769.167	0.054	0.066	0.061
769.341	0.055	0.066	0.061
769.515	0.055	0.066	0.061
769.688	0.055	0.066	0.061
769.862	0.055	0.066	0.061
770.035	0.055	0.066	0.061
770.209	0.055	0.066	0.061
770.383	0.055	0.066	0.061
770.556	0.055	0.066	0.061
770.73	0.055	0.066	0.061
770.903	0.055	0.066	0.061
771.077	0.055	0.066	0.061
771.25	0.055	0.066	0.061
771.424	0.055	0.066	0.061
771.598	0.055	0.066	0.061
771.771	0.055	0.066	0.061
771.945	0.055	0.066	0.061
772.118	0.055	0.066	0.061
772.292	0.055	0.066	0.061
772.466	0.055	0.066	0.061
772.639	0.055	0.067	0.061
772.813	0.055	0.067	0.061
772.986	0.055	0.067	0.061
773.16	0.055	0.067	0.061
773.334	0.055	0.067	0.061
773.507	0.055	0.067	0.061
773.681	0.055	0.067	0.061
773.855	0.055	0.067	0.061
774.028	0.055	0.066	0.061
774.202	0.055	0.066	0.061
774.375	0.055	0.066	0.061
774.549	0.055	0.066	0.061
774.723	0.055	0.066	0.061
774.896	0.055	0.067	0.061
775.07	0.055	0.067	0.061
775.243	0.055	0.066	0.061
775.417	0.055	0.066	0.061
775.591	0.055	0.066	0.061
775.764	0.055	0.066	0.061
775.938	0.055	0.066	0.061
776.112	0.055	0.066	0.061
776.285	0.055	0.066	0.061
776.459	0.055	0.067	0.061
776.632	0.055	0.067	0.061
776.806	0.055	0.066	0.061
776.98	0.055	0.066	0.061
777.153	0.055	0.067	0.061
777.327	0.055	0.066	0.061
777.501	0.055	0.066	0.061
777.674	0.055	0.066	0.061
777.848	0.055	0.066	0.061
778.021	0.055	0.066	0.061
778.195	0.055	0.066	0.061
778.369	0.055	0.066	0.061
778.542	0.055	0.066	0.061
778.716	0.055	0.066	0.061
778.89	0.055	0.066	0.061
779.063	0.055	0.066	0.061
779.237	0.055	0.066	0.061
779.41	0.055	0.067	0.061
779.584	0.055	0.066	0.061
779.758	0.055	0.067	0.061
779.931	0.055	0.067	0.061
780.105	0.055	0.067	0.061
780.279	0.055	0.067	0.061
780.452	0.055	0.066	0.061
780.626	0.055	0.067	0.061
780.8	0.054	0.066	0.061
780.973	0.054	0.066	0.061
781.147	0.054	0.066	0.061
781.321	0.054	0.066	0.061
781.494	0.054	0.066	0.061
781.668	0.054	0.066	0.061
781.842	0.054	0.066	0.061
782.015	0.054	0.066	0.061
782.189	0.054	0.066	0.061
782.363	0.054	0.066	0.061
782.536	0.054	0.066	0.061
782.71	0.054	0.066	0.061
782.884	0.054	0.066	0.061
783.057	0.054	0.066	0.06
783.231	0.054	0.066	0.06
783.404	0.054	0.066	0.061
783.578	0.054	0.066	0.06
783.752	0.054	0.066	0.06
783.925	0.054	0.066	0.06
784.099	0.054	0.066	0.06
784.273	0.054	0.066	0.06
784.446	0.054	0.066	0.06
784.62	0.054	0.066	0.06
784.794	0.054	0.066	0.06
784.968	0.054	0.066	0.06
785.141	0.054	0.066	0.06
785.315	0.054	0.066	0.06
785.489	0.054	0.066	0.06
785.662	0.054	0.066	0.06
785.836	0.054	0.066	0.06
786.01	0.054	0.066	0.06
786.183	0.054	0.066	0.06
786.357	0.054	0.066	0.06
786.531	0.054	0.066	0.06
786.704	0.054	0.066	0.06
786.878	0.054	0.066	0.06
787.052	0.054	0.066	0.06
787.225	0.054	0.066	0.06
787.399	0.054	0.066	0.06
787.573	0.054	0.066	0.06
787.746	0.054	0.066	0.06
787.92	0.054	0.066	0.06
788.094	0.054	0.066	0.06
788.267	0.054	0.066	0.06
788.441	0.054	0.066	0.06
788.615	0.054	0.066	0.06
788.789	0.054	0.066	0.06
788.962	0.054	0.066	0.06
789.136	0.054	0.066	0.06
789.31	0.054	0.066	0.06
789.483	0.054	0.066	0.06
789.657	0.054	0.066	0.06
789.831	0.054	0.066	0.06
790.004	0.054	0.066	0.06
790.178	0.054	0.067	0.06
790.352	0.054	0.066	0.06
790.526	0.054	0.067	0.06
790.699	0.054	0.066	0.06
790.873	0.054	0.066	0.06
791.047	0.054	0.066	0.06
791.22	0.054	0.066	0.06
791.394	0.054	0.066	0.06
791.568	0.054	0.066	0.06
791.741	0.054	0.066	0.06
791.915	0.054	0.066	0.06
792.089	0.054	0.066	0.06
792.263	0.054	0.066	0.06
792.436	0.054	0.066	0.059
792.61	0.054	0.066	0.059
792.784	0.053	0.066	0.059
792.958	0.053	0.066	0.059
793.131	0.053	0.066	0.059
793.305	0.054	0.066	0.059
793.479	0.054	0.066	0.059
793.652	0.054	0.066	0.06
793.826	0.054	0.066	0.06
794	0.054	0.066	0.06
794.174	0.054	0.066	0.06
794.347	0.054	0.066	0.06
794.521	0.054	0.066	0.06
794.695	0.054	0.067	0.06
794.868	0.054	0.066	0.06
795.042	0.054	0.066	0.06
795.216	0.054	0.067	0.06
795.39	0.054	0.067	0.06
795.563	0.054	0.067	0.06
795.737	0.054	0.067	0.06
795.911	0.054	0.067	0.06
796.085	0.054	0.067	0.06
796.258	0.054	0.067	0.06
796.432	0.054	0.067	0.06
796.606	0.054	0.067	0.06
796.78	0.054	0.067	0.06
796.953	0.054	0.067	0.06
797.127	0.054	0.067	0.06
797.301	0.054	0.067	0.06
797.475	0.054	0.067	0.06
797.648	0.054	0.067	0.06
797.822	0.054	0.067	0.06
797.996	0.054	0.067	0.06
798.17	0.054	0.067	0.06
798.343	0.054	0.067	0.06
798.517	0.054	0.067	0.06
798.691	0.054	0.067	0.06
798.865	0.054	0.067	0.06
799.038	0.054	0.067	0.06
799.212	0.054	0.067	0.06
799.386	0.054	0.067	0.06
799.56	0.054	0.067	0.06
799.733	0.054	0.067	0.06
799.907	0.054	0.067	0.06
800.081	0.054	0.067	0.06
800.255	0.054	0.067	0.059
800.428	0.054	0.067	0.06
800.602	0.054	0.067	0.06
800.776	0.054	0.067	0.06
800.95	0.054	0.067	0.06
801.123	0.054	0.067	0.06
801.297	0.054	0.067	0.06
801.471	0.054	0.067	0.06
801.645	0.054	0.067	0.06
801.818	0.054	0.067	0.06
801.992	0.054	0.068	0.06
802.166	0.054	0.068	0.06
802.34	0.054	0.068	0.06
802.514	0.054	0.068	0.06
802.687	0.054	0.068	0.06
802.861	0.054	0.068	0.06
803.035	0.054	0.068	0.06
803.209	0.054	0.068	0.06
803.382	0.054	0.068	0.06
803.556	0.054	0.068	0.06
803.73	0.054	0.068	0.06
803.904	0.054	0.068	0.06
804.078	0.054	0.068	0.06
804.251	0.054	0.068	0.06
804.425	0.054	0.068	0.059
804.599	0.054	0.068	0.06
804.773	0.054	0.068	0.059
804.946	0.054	0.068	0.059
805.12	0.054	0.068	0.059
805.294	0.054	0.068	0.059
805.468	0.054	0.068	0.059
805.642	0.054	0.068	0.059
805.815	0.054	0.068	0.059
805.989	0.054	0.068	0.059
806.163	0.054	0.068	0.059
806.337	0.054	0.068	0.059
806.511	0.054	0.068	0.059
806.684	0.054	0.068	0.059
806.858	0.054	0.068	0.059
807.032	0.054	0.068	0.059
807.206	0.054	0.068	0.059
807.38	0.054	0.068	0.059
807.553	0.054	0.068	0.059
807.727	0.054	0.068	0.059
807.901	0.054	0.068	0.059
808.075	0.054	0.068	0.059
808.249	0.054	0.068	0.059
808.422	0.053	0.068	0.059
808.596	0.053	0.068	0.059
808.77	0.053	0.068	0.059
808.944	0.053	0.068	0.059
809.118	0.053	0.068	0.059
809.291	0.053	0.068	0.059
809.465	0.053	0.068	0.059
809.639	0.053	0.068	0.059
809.813	0.053	0.068	0.059
809.987	0.053	0.068	0.059
810.161	0.053	0.068	0.059
810.334	0.053	0.068	0.059
810.508	0.053	0.068	0.059
810.682	0.053	0.068	0.059
810.856	0.053	0.068	0.059
811.03	0.053	0.068	0.059
811.203	0.053	0.068	0.059
811.377	0.053	0.068	0.059
811.551	0.053	0.068	0.059
811.725	0.053	0.068	0.059
811.899	0.053	0.068	0.059
812.073	0.053	0.068	0.059
812.246	0.053	0.068	0.059
812.42	0.053	0.068	0.059
812.594	0.053	0.068	0.059
812.768	0.053	0.068	0.059
812.942	0.053	0.068	0.059
813.116	0.054	0.068	0.059
813.289	0.054	0.068	0.059
813.463	0.053	0.068	0.059
813.637	0.053	0.068	0.059
813.811	0.053	0.068	0.059
813.985	0.053	0.068	0.059
814.159	0.053	0.068	0.059
814.332	0.054	0.068	0.059
814.506	0.053	0.068	0.059
814.68	0.053	0.068	0.059
814.854	0.053	0.068	0.059
815.028	0.053	0.068	0.059
815.202	0.053	0.068	0.059
815.375	0.053	0.068	0.059
